START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/19,12:10 PM,03:10 PM,Giants at Angels,Tempe Diablo Stadium - Tempe,"Local Radio: KNBR 680",02/23/19,02/23/19,03:10 PM,06:10 PM,FALSE,TRUE,02/23/19,11:10 AM,02:10 PM,FREE,BUSY
02/24/19,12:05 PM,03:05 PM,Cubs at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KNBR 680",02/24/19,02/24/19,03:05 PM,06:05 PM,FALSE,TRUE,02/24/19,11:05 AM,02:05 PM,FREE,BUSY
02/25/19,12:05 PM,03:05 PM,White Sox at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",02/25/19,02/25/19,03:05 PM,06:05 PM,FALSE,TRUE,02/25/19,11:05 AM,02:05 PM,FREE,BUSY
02/26/19,12:05 PM,03:05 PM,Giants at Reds,Goodyear Ballpark - Goodyear,"Local Radio: MLB.com",02/26/19,02/26/19,03:05 PM,06:05 PM,FALSE,TRUE,02/26/19,11:05 AM,02:05 PM,FREE,BUSY
02/27/19,12:05 PM,03:05 PM,Royals at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",02/27/19,02/27/19,03:05 PM,06:05 PM,FALSE,TRUE,02/27/19,11:05 AM,02:05 PM,FREE,BUSY
02/28/19,12:05 PM,03:05 PM,Giants at Brewers,American Family Fields of Phoenix - Phoenix,"Local Radio: MLB.com",02/28/19,02/28/19,03:05 PM,06:05 PM,FALSE,TRUE,02/28/19,11:05 AM,02:05 PM,FREE,BUSY
03/01/19,06:05 PM,09:05 PM,Reds at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBC Bay Area- MLBN (out-of-market only) ----- Local Radio: MLB.com",03/01/19,03/02/19,09:05 PM,12:05 AM,FALSE,TRUE,03/01/19,05:05 PM,08:05 PM,FREE,BUSY
03/02/19,12:05 PM,03:05 PM,Rangers at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KNBR 680",03/02/19,03/02/19,03:05 PM,06:05 PM,FALSE,TRUE,03/02/19,11:05 AM,02:05 PM,FREE,BUSY
03/02/19,12:10 PM,03:10 PM,Giants at Padres,Peoria Stadium - Peoria,"",03/02/19,03/02/19,03:10 PM,06:10 PM,FALSE,TRUE,03/02/19,11:10 AM,02:10 PM,FREE,BUSY
03/03/19,12:10 PM,03:10 PM,Giants at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: KNBR 680",03/03/19,03/03/19,03:10 PM,06:10 PM,FALSE,TRUE,03/03/19,11:10 AM,02:10 PM,FREE,BUSY
03/04/19,12:05 PM,03:05 PM,Dodgers at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",03/04/19,03/04/19,03:05 PM,06:05 PM,FALSE,TRUE,03/04/19,11:05 AM,02:05 PM,FREE,BUSY
03/06/19,12:05 PM,03:05 PM,Giants at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/06/19,03/06/19,03:05 PM,06:05 PM,FALSE,TRUE,03/06/19,11:05 AM,02:05 PM,FREE,BUSY
03/07/19,06:05 PM,09:05 PM,Athletics at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBCS BA- MLBN (out-of-market only) ----- Local Radio: KNBR 680",03/07/19,03/08/19,09:05 PM,12:05 AM,FALSE,TRUE,03/07/19,05:05 PM,08:05 PM,FREE,BUSY
03/08/19,05:05 PM,08:05 PM,Giants at Indians,Goodyear Ballpark - Goodyear,"Local Radio: MLB.com",03/08/19,03/08/19,08:05 PM,11:05 PM,FALSE,TRUE,03/08/19,04:05 PM,07:05 PM,FREE,BUSY
03/09/19,12:05 PM,03:05 PM,Cubs at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KNBR 680",03/09/19,03/09/19,03:05 PM,06:05 PM,FALSE,TRUE,03/09/19,11:05 AM,02:05 PM,FREE,BUSY
03/10/19,01:05 PM,04:05 PM,Rangers at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KNBR 680",03/10/19,03/10/19,04:05 PM,07:05 PM,FALSE,TRUE,03/10/19,12:05 PM,03:05 PM,FREE,BUSY
03/10/19,01:05 PM,04:05 PM,Giants at Athletics,Hohokam Stadium - Mesa,"",03/10/19,03/10/19,04:05 PM,07:05 PM,FALSE,TRUE,03/10/19,12:05 PM,03:05 PM,FREE,BUSY
