game_date,teams,location
2/25/2011,D-backs at Giants,Scottsdale Stadium
2/26/2011,Dodgers at Giants,Scottsdale Stadium
2/27/2011,Giants at D-backs,Salt River Fields at Talking Stick
2/28/2011,Giants at Brewers,Maryvale Baseball Park
3/1/2011,Cubs at Giants,Scottsdale Stadium
3/2/2011,D-backs at Giants,Scottsdale Stadium
3/3/2011,Giants at Rockies,Salt River Fields at Talking Stick
3/4/2011,Brewers at Giants,Scottsdale Stadium
3/4/2011,Giants at Dodgers,Camelback Ranch
3/5/2011,Giants at Athletics,Phoenix Municipal Stadium
3/6/2011,Mariners at Giants,Scottsdale Stadium
3/7/2011,Rangers at Giants,Scottsdale Stadium
3/8/2011,Giants at Mariners,Peoria Stadium
3/9/2011,White Sox at Giants,Scottsdale Stadium
3/10/2011,Giants at Reds,Goodyear Ballpark
3/11/2011,Giants at Padres,Peoria Stadium
3/12/2011,Dodgers at Giants,Scottsdale Stadium
3/13/2011,Giants at Rangers,Surprise Stadium
3/14/2011,Brewers at Giants,Scottsdale Stadium
3/15/2011,Giants at D-backs,Salt River Fields at Talking Stick
3/16/2011,Giants at White Sox,Camelback Ranch
3/17/2011,Angels at Giants,Scottsdale Stadium
3/18/2011,Dodgers at Giants,Scottsdale Stadium
3/19/2011,Royals at Giants,Scottsdale Stadium
3/20/2011,Athletics at Giants,Scottsdale Stadium
3/20/2011,Giants at Cubs,HoHoKam Park
3/21/2011,Rockies at Giants,Scottsdale Stadium
3/23/2011,Giants at Angels,Tempe Diablo Stadium
3/24/2011,Indians at Giants,Scottsdale Stadium
3/25/2011,Giants at Royals,Surprise Stadium
3/26/2011,Reds at Giants,Scottsdale Stadium
3/26/2011,Giants at Indians,Goodyear Ballpark
3/27/2011,Giants at Royals,Surprise Stadium
3/28/2011,Athletics at Giants,AT&T Park
3/29/2011,Giants at Athletics,Oakland Coliseum
3/30/2011,Athletics at Giants,AT&T Park
3/31/2011,Giants at Dodgers,Dodger Stadium
4/1/2011,Giants at Dodgers,Dodger Stadium
4/2/2011,Giants at Dodgers,Dodger Stadium
4/3/2011,Giants at Dodgers,Dodger Stadium
4/5/2011,Giants at Padres,PETCO Park
4/6/2011,Giants at Padres,PETCO Park
4/8/2011,Cardinals at Giants,AT&T Park
4/9/2011,Cardinals at Giants,AT&T Park
4/10/2011,Cardinals at Giants,AT&T Park
