START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/06/12,03:33 AM,03:33 AM,Giants at D-backs,Chase Field,,04/06/12,04/06/12,06:33 AM,06:33 AM,FALSE,TRUE,04/06/12,02:33 AM,02:33 AM,FREE,BUSY
04/07/12,03:33 AM,03:33 AM,Giants at D-backs,Chase Field,,04/07/12,04/07/12,06:33 AM,06:33 AM,FALSE,TRUE,04/07/12,02:33 AM,02:33 AM,FREE,BUSY
04/08/12,03:33 AM,03:33 AM,Giants at D-backs,Chase Field,,04/08/12,04/08/12,06:33 AM,06:33 AM,FALSE,TRUE,04/08/12,02:33 AM,02:33 AM,FREE,BUSY
04/09/12,03:33 AM,03:33 AM,Giants at Rockies,Coors Field,,04/09/12,04/09/12,06:33 AM,06:33 AM,FALSE,TRUE,04/09/12,02:33 AM,02:33 AM,FREE,BUSY
04/11/12,03:33 AM,03:33 AM,Giants at Rockies,Coors Field,,04/11/12,04/11/12,06:33 AM,06:33 AM,FALSE,TRUE,04/11/12,02:33 AM,02:33 AM,FREE,BUSY
04/12/12,03:33 AM,03:33 AM,Giants at Rockies,Coors Field,,04/12/12,04/12/12,06:33 AM,06:33 AM,FALSE,TRUE,04/12/12,02:33 AM,02:33 AM,FREE,BUSY
04/13/12,03:33 AM,03:33 AM,Pirates at Giants,AT&T Park,,04/13/12,04/13/12,06:33 AM,06:33 AM,FALSE,TRUE,04/13/12,02:33 AM,02:33 AM,FREE,BUSY
04/14/12,03:33 AM,03:33 AM,Pirates at Giants,AT&T Park,,04/14/12,04/14/12,06:33 AM,06:33 AM,FALSE,TRUE,04/14/12,02:33 AM,02:33 AM,FREE,BUSY
04/15/12,03:33 AM,03:33 AM,Pirates at Giants,AT&T Park,,04/15/12,04/15/12,06:33 AM,06:33 AM,FALSE,TRUE,04/15/12,02:33 AM,02:33 AM,FREE,BUSY
04/16/12,03:33 AM,03:33 AM,Phillies at Giants,AT&T Park,,04/16/12,04/16/12,06:33 AM,06:33 AM,FALSE,TRUE,04/16/12,02:33 AM,02:33 AM,FREE,BUSY
04/17/12,03:33 AM,03:33 AM,Phillies at Giants,AT&T Park,,04/17/12,04/17/12,06:33 AM,06:33 AM,FALSE,TRUE,04/17/12,02:33 AM,02:33 AM,FREE,BUSY
04/18/12,03:33 AM,03:33 AM,Phillies at Giants,AT&T Park,,04/18/12,04/18/12,06:33 AM,06:33 AM,FALSE,TRUE,04/18/12,02:33 AM,02:33 AM,FREE,BUSY
04/20/12,03:33 AM,03:33 AM,Giants at Mets,Citi Field,,04/20/12,04/20/12,06:33 AM,06:33 AM,FALSE,TRUE,04/20/12,02:33 AM,02:33 AM,FREE,BUSY
